x,y,latent_rgb-3_0_8_d5
0,0,
1,0,
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,0.00046819448
11,0,
12,0,
13,0,
14,0,0.00029819878
15,0,-0.00027852878
16,0,-0.0005145883
17,0,3.9312057e-05
18,0,-0.00032610074
19,0,0.00012716511
20,0,-0.00016703457
21,0,-1.2003351e-05
22,0,2.187863e-05
23,0,-4.709419e-05
24,0,-0.00054707006
25,0,0.000203114
26,0,0.00017999858
27,0,0.0002905531
28,0,9.1242604e-05
29,0,-0.00041801715
30,0,0.00011389423
31,0,0.00011589844
32,0,6.568432e-05
33,0,6.203167e-05
34,0,0.00021241046
35,0,8.0304686e-05
36,0,-9.568129e-05
37,0,-5.1036477e-06
38,0,0.00043235114
39,0,0.00010864809
40,0,3.8949773e-05
41,0,8.7575056e-05
42,0,-0.00020671636
43,0,-0.00025520753
44,0,0.00030481257
45,0,0.0005333666
46,0,2.1810643e-05
47,0,-0.00032754056
48,0,-0.00030593202
49,0,5.7717785e-05
50,0,0.00023030676
51,0,0.00014635734
52,0,0.00017565582
53,0,4.4740736e-06
54,0,5.046511e-05
55,0,0.00049166614
56,0,0.0001614308
57,0,0.00035217404
58,0,-0.00026277453
59,0,0.00048605725
60,0,0.0003138194
61,0,0.00021439511
62,0,0.00014031772
63,0,7.969234e-05
64,0,0.00011402927
65,0,-0.00015029125
66,0,0.00033605378
67,0,-5.8951788e-05
68,0,-0.0003526206
69,0,0.00048574246
70,0,-1.3210811e-06
71,0,-0.0001601642
72,0,-0.00032686256
73,0,-1.453748e-05
74,0,-0.00058820937
75,0,0.00022568554
76,0,0.0005023093
77,0,-0.00041913986
78,0,2.6728027e-05
79,0,4.4589862e-05
80,0,0.00020554196
81,0,0.00034888182
82,0,0.00014039315
83,0,-0.00010707509
84,0,0.00014120713
85,0,-0.0005486114
86,0,0.0005134214
87,0,-0.00063395314
88,0,-0.00020070467
89,0,0.00028904248
90,0,0.00023695128
91,0,0.000171653
92,0,-0.00040481798
93,0,-0.00038590608
94,0,0.0002377266
95,0,-0.00015649665
96,0,0.00017797714
97,0,-0.00052001234
98,0,-8.2433224e-05
99,0,0.00021448918
100,0,0.00018011965
101,0,-0.00044481177
102,0,0.00036854483
103,0,0.00015256461
104,0,0.0001913691
105,0,-0.00024891132
106,0,0.00023822626
107,0,-0.00022440497
108,0,0.0003443025
109,0,-0.00013187248
110,0,6.2365085e-05
111,0,-0.00022711884
112,0,6.76699e-06
113,0,-0.00024370849
114,0,0.00032125227
115,0,0.0003170073
116,0,0.00031527923
117,0,0.00031239912
118,0,0.0004951246
119,0,0.00044572912
120,0,-0.0001052157
121,0,-0.000117555726
122,0,8.698227e-05
123,0,-0.00026770122
124,0,-0.0003701183
125,0,-0.0001771329
126,0,0.00024237018
127,0,-0.00018203538
128,0,-7.1751885e-05
129,0,-8.589029e-05
130,0,-0.000479531
131,0,-7.694028e-05
132,0,2.5907531e-05
133,0,-0.00037631532
134,0,-0.0001403424
135,0,-0.0005482659
136,0,0.00026427582
137,0,7.926766e-05
138,0,0.00052929204
139,0,
140,0,
141,0,1.6461127e-05
142,0,
143,0,
144,0,
145,0,
146,0,
147,0,
148,0,
149,0,-0.00033998257
150,0,0.00022128038
151,0,
152,0,0.0003023846
153,0,-0.0006745467
154,0,
155,0,8.362625e-05
156,0,0.0006847335
157,0,-0.00017349795
158,0,0.00029978994
159,0,8.230796e-05
160,0,0.00085767824
161,0,0.00016199518
162,0,-8.541532e-05
163,0,
164,0,
165,0,7.9596415e-05
166,0,
167,0,
168,0,
169,0,
170,0,
171,0,
172,0,
173,0,
174,0,
175,0,
176,0,
177,0,
178,0,
179,0,0.00018825661
180,0,
181,0,
182,0,
183,0,
184,0,
185,0,
186,0,0.00025818078
187,0,0.0005595274
188,0,9.459443e-06
189,0,-0.00013291929
190,0,4.870072e-05
191,0,-0.0003264011
192,0,0.00025655888
193,0,0.00024256762
194,0,4.0428247e-05
195,0,-0.0007024612
196,0,-7.628184e-05
197,0,-0.00028776564
198,0,-0.00029239804
199,0,-0.00042613596
200,0,0.00016643107
201,0,0.00011755712
202,0,-0.00050300546
203,0,0.00019063056
204,0,1.8253922e-06
