x,y,latent_d8
0,0,
1,0,
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,-0.00032782607
11,0,
12,0,
13,0,
14,0,-0.0004889104
15,0,-0.00010451354
16,0,-0.00035692524
17,0,-0.00036300678
18,0,-0.00025898457
19,0,-0.00064095535
20,0,-0.00073120516
21,0,6.4246706e-06
22,0,-0.0005660528
23,0,-0.00029925496
24,0,-0.0004615966
25,0,-0.00077398267
26,0,-0.00032284443
27,0,-0.0007224414
28,0,-0.0004133699
29,0,-0.00047920697
30,0,-0.00015973445
31,0,-0.0008110661
32,0,-0.00062940136
33,0,-0.00037177053
34,0,-0.00020114944
35,0,-0.0005767155
36,0,-0.0005621636
37,0,-0.00012932211
38,0,-0.00027557235
39,0,-0.00082910113
40,0,-0.00064941455
41,0,-0.00054918096
42,0,-0.0003421023
43,0,-0.0004238594
44,0,-0.00028230302
45,0,-0.0005268907
46,0,-0.0006971653
47,0,-0.00053864025
48,0,-0.00063357834
49,0,-0.00043396238
50,0,-0.00020132732
51,0,-0.0003023693
52,0,-0.00042358373
53,0,-0.00063470524
54,0,-0.00072196365
55,0,-0.0005266234
56,0,-0.0003847392
57,0,-0.00057421584
58,0,-0.00034325063
59,0,-0.00077601016
60,0,-0.00067923736
61,0,-0.0009357944
62,0,-0.0006585061
63,0,-0.00051428244
64,0,-0.00030780543
65,0,-0.00039600168
66,0,-0.00010259781
67,0,-3.0282477e-05
68,0,-0.00052036677
69,0,-0.00044163648
70,0,-0.00045174878
71,0,-0.00032603886
72,0,-0.00018975657
73,0,5.22653e-05
74,0,-0.00047754828
75,0,3.7352962e-05
76,0,-0.00018696632
77,0,-0.00036154647
78,0,-0.0005301941
79,0,-0.00089665834
80,0,8.868461e-06
81,0,-0.0007040739
82,0,-0.00035706587
83,0,-0.00051355787
84,0,-0.00032420136
85,0,-0.00010990497
86,0,-0.0007053675
87,0,-0.0004427578
88,0,-0.0003472013
89,0,-0.00016519945
90,0,-0.0005149837
91,0,-0.000285395
92,0,-0.00033845432
93,0,-0.00023839955
94,0,-0.00060068496
95,0,-0.00025350932
96,0,-1.7067941e-05
97,0,1.6041449e-06
98,0,-9.7818265e-05
99,0,-0.00074035727
100,0,-5.102117e-05
101,0,-0.00083200686
102,0,-0.00038716156
103,0,-0.00048257184
104,0,-0.00048591063
105,0,-0.0010181624
106,0,-0.0004417734
107,0,-0.00020561792
108,0,-0.00054227986
109,0,-0.00086347066
110,0,-0.001054619
111,0,-0.0004194887
112,0,-0.00017107796
113,0,-0.00044723373
114,0,-0.00011680421
115,0,-0.0005357671
116,0,-0.00036985107
117,0,-0.000675025
118,0,-0.00052035187
119,0,-0.00057525706
120,0,-0.00035405305
121,0,-0.00053806003
122,0,-0.00023539324
123,0,-0.00046697684
124,0,-0.0004148833
125,0,-0.0002851119
126,0,-0.0006939243
127,0,-0.0003763638
128,0,-0.00043907628
129,0,-0.00056490634
130,0,-0.0004566792
131,0,-0.00027875282
132,0,-9.8332355e-05
133,0,3.218226e-05
134,0,-5.2758085e-05
135,0,-0.00015913561
136,0,-0.0003841124
137,0,0.00033491146
138,0,0.00016691483
139,0,
140,0,
141,0,-0.00026491523
142,0,
143,0,
144,0,
145,0,
146,0,
147,0,
148,0,
149,0,0.00010422844
150,0,0.00042718038
151,0,
152,0,0.00015460834
153,0,0.00031169824
154,0,
155,0,0.00073384907
156,0,0.00023701455
157,0,-8.353923e-05
158,0,2.807792e-05
159,0,0.00018116873
160,0,0.00019301329
161,0,0.00011105038
162,0,0.0003033629
163,0,
164,0,
165,0,0.00072196446
166,0,
167,0,
168,0,
169,0,
170,0,
171,0,
172,0,
173,0,
174,0,
175,0,
176,0,
177,0,
178,0,
179,0,-0.00019413471
180,0,
181,0,
182,0,
183,0,
184,0,
185,0,
186,0,-0.00054174155
187,0,-0.00026544422
188,0,-0.00045630295
189,0,-0.00022293773
190,0,-2.5809335e-05
191,0,-0.00055698823
192,0,-0.0006208304
193,0,-0.00020956021
194,0,-0.0004971498
195,0,-0.0005878169
196,0,-0.00066122
197,0,-0.00013935805
198,0,-0.0006346829
199,0,-0.00011541374
200,0,-0.00052989606
201,0,-0.0003297474
202,0,-0.0004929719
