x,y,latent_sum-auto_d384
0,0,
1,0,
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,-0.00027281852
11,0,
12,0,
13,0,
14,0,-0.00024432846
15,0,-0.00024160705
16,0,-0.00029291477
17,0,-0.00011904299
18,0,-0.00036074728
19,0,-0.00039938578
20,0,-0.00012868043
21,0,-0.0001125687
22,0,4.4482527e-05
23,0,3.3662945e-06
24,0,0.00017081384
25,0,-8.020655e-05
26,0,-0.00020892339
27,0,-4.9146067e-05
28,0,0.00013076456
29,0,-0.00015498535
30,0,-0.00018119774
31,0,-0.00023708036
32,0,-0.00031253442
33,0,0.00013578756
34,0,-0.000108858425
35,0,-5.041159e-05
36,0,-9.999523e-06
37,0,0.00012535966
38,0,-0.00026998718
39,0,-0.0002609031
40,0,-0.00016639655
41,0,-4.6965957e-05
42,0,-0.0001519857
43,0,8.8246714e-05
44,0,-9.484353e-05
45,0,-6.246526e-05
46,0,-0.00017617
47,0,-0.00016428716
48,0,-6.3192565e-06
49,0,-0.00036195642
50,0,-0.00023531722
51,0,-0.000175178
52,0,-1.2178207e-05
53,0,-0.00017407926
54,0,-0.00010113459
55,0,-8.3679886e-05
56,0,0.00019637009
57,0,-0.00010102338
58,0,-0.00035587957
59,0,-0.00023786194
60,0,-0.0001289921
61,0,-0.00031051814
62,0,-0.00026502903
63,0,-0.0001437249
64,0,-6.627862e-05
65,0,-0.00024035861
66,0,-4.921187e-05
67,0,-8.959437e-05
68,0,0.00013847888
69,0,0.00019354536
70,0,-0.00021672723
71,0,-8.862748e-05
72,0,-0.00022459304
73,0,-6.808268e-05
74,0,-0.00023513052
75,0,-0.00025091038
76,0,3.2464508e-05
77,0,-6.0775288e-05
78,0,0.00017225178
79,0,-0.00024437575
80,0,0.00017679506
81,0,-0.00031777268
82,0,-0.00012394591
83,0,-6.948531e-05
84,0,0.00025007888
85,0,-9.4006944e-05
86,0,-0.00012661243
87,0,-0.00024445794
88,0,-0.00027664044
89,0,-0.00027397755
90,0,-0.00037126918
91,0,-0.00016265034
92,0,-7.0075446e-05
93,0,-9.471708e-05
94,0,-0.00012423645
95,0,-8.0081925e-05
96,0,6.685173e-05
97,0,-8.712735e-05
98,0,-0.00023058726
99,0,-0.00026833703
100,0,-0.00026689077
101,0,6.3525804e-05
102,0,2.9709394e-05
103,0,0.00013939693
104,0,-0.0001939919
105,0,9.069877e-05
106,0,-5.2102027e-05
107,0,8.1711885e-05
108,0,-3.7688238e-05
109,0,-0.00031943253
110,0,-6.662303e-05
111,0,-0.00025341645
112,0,-0.00023531189
113,0,-3.023076e-05
114,0,-6.5805507e-06
115,0,-0.00038313723
116,0,-0.00012259683
117,0,-0.00016783524
118,0,-0.00025198507
119,0,4.3287844e-05
120,0,-0.00015942458
121,0,-0.000121925696
122,0,-0.0003320121
123,0,-0.00018733722
124,0,-0.00033453514
125,0,-0.0002112531
126,0,-0.00012647908
127,0,-5.20185e-05
128,0,-6.1564555e-05
129,0,-0.00033077112
130,0,-0.00025736183
131,0,4.7223206e-05
132,0,-0.00019852989
133,0,-0.000115426985
134,0,-4.8902e-06
135,0,-0.00025028843
136,0,-6.805823e-05
137,0,-8.829596e-05
138,0,-0.0003567118
139,0,
140,0,
141,0,-0.00014884726
142,0,
143,0,
144,0,
145,0,
146,0,
147,0,
148,0,
149,0,8.8952365e-06
150,0,-0.00029403
151,0,
152,0,-0.00041556457
153,0,-9.463288e-05
154,0,
155,0,-0.00016452748
156,0,-0.0002771493
157,0,-0.00024058053
158,0,-2.4196226e-05
159,0,-0.00034531744
160,0,-3.4597906e-05
161,0,-0.00034036412
162,0,-0.0001333062
163,0,
164,0,
165,0,-0.00039287118
166,0,
167,0,
168,0,
169,0,
170,0,
171,0,
172,0,
173,0,
174,0,
175,0,
176,0,
177,0,
178,0,
179,0,-0.00015393592
180,0,
181,0,
182,0,
183,0,
184,0,
185,0,
186,0,-0.00024293401
187,0,-0.0002857084
188,0,-8.223753e-05
189,0,-0.0006124871
190,0,-1.957087e-06
191,0,0.0001501654
192,0,-0.00016324289
193,0,2.841407e-06
194,0,-0.0004650415
195,0,1.1314347e-05
196,0,-0.00015981164
197,0,-9.1303664e-05
